Course Name,Description,Skills,Majors,Careers
MCV4U - Calculus and Vectors,"This course builds on students previous experience with functions and their developing understanding of rates of change. Students will solve problems involving geometric and algebraic representations of vectors and representations of lines and planes in three-dimensional space; broaden their understanding of rates of change to include the derivatives of polynomial, sinusoidal, exponential, rational, and radical functions; and apply these concepts and skills to the modelling of real-world relationships. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended for students who choose to pursue careers in fields such as science, engineering, economics, and some areas of business, including those students who will be required to take a university-level calculus, linear algebra, or physics course.","Problem Solving, Geometric Representation, Algebraic Representation, Understanding Rates of Change, Derivative Calculation, Mathematical Modelling, Linear Algebra, Mathematical Communication, Real-World Application of Functions, Analytical Thinking, Critical Thinking","Mathematics, Engineering, Physics, Economics, Computer Science, Business, Actuarial Science, Data Science, Applied Mathematics, Environmental Science, Finance, Operations Research","Scientist, Engineer, Economist, Mathematician, Financial Analyst, Data Analyst, Software Developer, Researcher, Actuary, Operations Manager"
MDM4U - Mathematics of Data Management,"This course broadens students understanding of mathematics as it relates to managing data. Students will apply methods for organizing and analysing large amounts of information; solve problems involving probability and statistics; and carry out a culminating investigation that integrates statistical concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. Students planning to enter university programs in business, the social sciences, and the humanities will find this course of particular interest.","Data Organization, Data Analysis, Probability, Statistics, Problem Solving, Statistical Investigation, Mathematical Communication, Critical Thinking, Analytical Thinking, Mathematical Modelling","Business, Social Sciences, Humanities, Psychology, Sociology, Economics, Political Science, Marketing, Education, History","Business Analyst, Statistician, Data Analyst, Economist, Social Researcher, Market Research Analyst, Human Resources Specialist, Policy Analyst, Educator"
MHF4U - Advanced Functions,"This course extends students experience with functions. Students will investigate the properties of polynomial, rational, logarithmic, and trigonometric functions; develop techniques for combining functions; broaden their understanding of rates of change; and develop facility in applying these concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended both for students taking the Calculus and Vectors course as a prerequisite for a university program and for those wishing to consolidate their understanding of mathematics before proceeding to any one of a variety of university programs.","Function Analysis, Mathematical Modelling, Rates of Change, Problem Solving, Function Combination, Algebraic Manipulation, Trigonometric Function Analysis, Logarithmic Function Analysis, Critical Thinking, Mathematical Communication, Mathematical Processes","Mathematics, Engineering, Computer Science, Physics, Economics, Finance, Architecture, Chemistry, Biology, Data Science","Engineer, Data Scientist, Mathematician, Financial Analyst, Statistician, Architect, Researcher, Software Developer, Economist, Physicist"
"NDG4M - First Nations, Métis and Inuit Governance in Canada","This course explores aspects of First Nations, Métis, and Inuit leadership, nationhood, and governance. Students will investigate historical and contemporary approaches of First Nations, Métis, and Inuit peoples to relations with, and negotiations within, government structures in Canada. Students will examine how traditional values and cultures inform various models of Aboriginal governance, and will reflect on their own ideas about legal, political, civic, economic, and cultural leadership as they explore diverse governance strategies being used to revitalize and strengthen First Nations, Métis, and Inuit self-determination throughout Canada.","Leadership Analysis, Political Science, Indigenous Governance, Cultural Awareness, Critical Thinking, Historical Analysis, Civic Engagement, Negotiation Skills, Self-Reflection, Research Skills","Indigenous Studies, Political Science, Law, Public Administration, Sociology, History, Social Justice, Anthropology, Education, Environmental Studies","Indigenous Rights Advocate, Public Policy Analyst, Community Leader, Legal Advisor, Social Worker, Government Official, Educator, Cultural Consultant, Researcher, Non-Profit Manager"
NDW4M - Contemporary Indigenous Issues and Perspectives in a Global Context,"This course examines global issues from the perspectives of indigenous peoples. Students will explore the depth and diversity of indigenous cultures, traditions, and knowledge. Students will consider how diverse indigenous communities persevere despite current global environmental and economic trends, and will investigate topics such as identity, social justice, human rights and abuses, spirituality, resistance, and advocacy for change.","Cultural Awareness, Social Justice, Critical Thinking, Research Skills, Advocacy, Historical Analysis, Environmental Analysis, Global Perspectives, Identity Exploration, Human Rights Advocacy, Resistance Strategies","Indigenous Studies, Sociology, Anthropology, Political Science, Global Studies, Human Rights, Environmental Studies, Social Justice, History, International Relations","Human Rights Advocate, Social Justice Advocate, Environmental Consultant, Researcher, Policy Analyst, Educator, Non-Profit Manager, Cultural Consultant, International Relations Specialist, Community Organizer"
PLF4M - Recreation and Healthy Active Living Leadership,"This course enables students to explore the benefits of lifelong participation in active recreation and healthy leisure and to develop the leadership and coordinating skills needed to plan, organize, and to safely implement recreational events and other activities related to healthy, active living. Students will also learn how to promote the benefits of healthy, active living to others through mentoring and assisting them in making informed decisions that enhance their well-being. The course will prepare students for university programs in physical education and health and kinesiology and for college and university programs in recreation and leisure management, fitness and health promotion, and fitness leadership.","Leadership, Event Planning, Health Promotion, Active Living, Mentoring, Coordination, Safe Activity Implementation, Public Speaking, Wellness Advocacy, Time Management, Teamwork","Physical Education, Health and Kinesiology, Recreation and Leisure Management, Fitness and Health Promotion, Fitness Leadership, Public Health, Sports Science","Recreation Coordinator, Fitness Instructor, Health Promotion Specialist, Wellness Coach, Event Planner, Sports Manager, Physical Education Teacher, Leisure Manager, Kinesiologist, Fitness and Health Advocate"
PSK4U - Introductory Kinesiology,"This course focuses on the study of human movement and of systems, factors and principles involved in human development. Students will learn about the effects of physical activity on health and performance, the evolution of physical activity and sport, and the physiological, psychological, and social factors that influence an individual's participation in physical activity and sport. The course prepares students for university programs in physical education and health, kinesiology, health sciences, health studies, recreation, and sports administration.","Human Movement Analysis, Physiological Analysis, Psychological Analysis, Social Factors in Sports, Health and Performance Evaluation, Research Skills, Communication, Critical Thinking, Time Management, Teamwork, Event Planning","Physical Education, Health and Kinesiology, Health Sciences, Health Studies, Sports Administration, Recreation, Public Health, Exercise Science, Sports Science","Kinesiologist, Sports Administrator, Physical Education Teacher, Health and Fitness Coach, Health Educator, Exercise Physiologist, Sports Psychologist, Recreation Manager, Athletic Trainer, Wellness Consultant"
SBI3U / SBI4U - Biology,"This course provides students with the opportunity for in-depth study of the concepts and processes that occur in biological systems. Students will study theory and conduct investigations in the areas of biochemistry, metabolic processes, molecular genetics, homeostasis, and population dynamics. Emphasis will be placed on the achievement of detailed knowledge and the refinement of skills needed for further study in various branches of the life sciences and related fields.","Biochemical Analysis, Metabolic Process Understanding, Molecular Genetics, Homeostasis, Population Dynamics, Laboratory Research, Scientific Investigation, Critical Thinking, Problem Solving, Data Interpretation, Communication, Report Writing, Time Management, Attention to Detail","Biochemistry, Molecular Biology, Genetics, Biomedical Science, Environmental Science, Ecology, Microbiology, Biotechnology, Pharmacology, Life Sciences, Health Sciences, Medicine, Research","Biochemist, Molecular Biologist, Geneticist, Biomedical Researcher, Environmental Scientist, Ecologist, Microbiologist, Pharmacologist, Biotechnology Specialist, Laboratory Technician, Health Researcher"
SCH3U / SCH4U - Chemistry,"This course enables students to deepen their understanding of chemistry through the study of organic chemistry, the structure and properties of matter, energy changes and rates of reaction, equilibrium in chemical systems, and electrochemistry. Students will further develop their problem-solving and investigation skills as they investigate chemical processes, and will refine their ability to communicate scientific information. Emphasis will be placed on the importance of chemistry in everyday life and on evaluating the impact of chemical technology on the environment.","Organic Chemistry, Chemical Structure and Properties, Energy Changes, Rate of Reaction, Chemical Equilibrium, Electrochemistry, Problem Solving, Laboratory Investigation, Scientific Communication, Data Analysis, Critical Thinking, Environmental Impact Evaluation, Attention to Detail","Chemistry, Chemical Engineering, Environmental Science, Biochemistry, Materials Science, Pharmacology, Forensic Science, Biotechnology, Chemical Research, Nanotechnology, Health Sciences","Chemist, Chemical Engineer, Environmental Chemist, Biochemist, Pharmacologist, Forensic Scientist, Laboratory Technician, Environmental Consultant, Chemical Researcher, Process Engineer, Product Development Specialist, Toxicologist"
SES4U - Earth and Space Science,"This course develops students understanding of Earth and its place in the universe. Students will investigate the properties of and forces in the universe and solar system and analyse techniques scientists use to generate knowledge about them. Students will closely examine the materials of Earth, its internal and surficial processes, and its geological history, and will learn how Earths systems interact and how they have changed over time. Throughout the course, students will learn how these forces, processes, and materials affect their daily lives. The course draws on biology, chemistry, physics, and mathematics in its consideration of geological and astronomical processes that can be observed directly or inferred from other evidence.","Geological Analysis, Astronomical Analysis, Scientific Investigation, Critical Thinking, Data Interpretation, Problem Solving, Research Methods, System Interaction, Conceptual Understanding, Mathematical Modelling, Observation Techniques, Scientific Communication, Interdisciplinary Knowledge","Geology, Astronomy, Earth Science, Environmental Science, Physics, Planetary Science, Environmental Engineering, Space Science, Geophysics, Oceanography, Astrophysics, Earth and Atmospheric Sciences","Geologist, Astronomer, Earth Scientist, Environmental Consultant, Planetary Scientist, Space Mission Specialist, Geophysicist, Researcher, Science Educator, Environmental Policy Analyst, Hydrologist, Science Communicator"
SNC4M - Science,"This course enables students, including those pursuing postsecondary programs outside the sciences, to increase their understanding of science and contemporary social and environmental issues in health-related fields. Students will explore a variety of medical technologies, pathogens and disease, nutritional science, public health issues, and biotechnology. The course focuses on the theoretical aspects of the topics under study and helps refine students scientific investigation skills.","Scientific Investigation, Critical Thinking, Data Analysis, Research Methodology, Problem Solving, Medical Technology Understanding, Public Health Analysis, Biotechnology Knowledge, Pathogen and Disease Identification, Nutritional Science Application, Theoretical Analysis","Health Sciences, Biotechnology, Medical Sciences, Public Health, Biomedical Engineering, Nutrition, Environmental Health, Epidemiology, Pharmacology, Bioinformatics, Medical Technology, Molecular Biology","Public Health Officer, Biomedical Researcher, Epidemiologist, Medical Technologist, Health Policy Analyst, Biotechnologist, Nutritionist, Pharmacist, Disease Specialist, Environmental Health Specialist, Biotech Industry Specialist, Research Scientist"
SPH3U / SPH4U - Physics,"This course enables students to deepen their understanding of physics concepts and theories. Students will continue their exploration of energy transformations and the forces that affect motion, and will investigate electrical, gravitational, and magnetic fields and electromagnetic radiation. Students will also explore the wave nature of light, quantum mechanics, and special relativity. They will further develop their scientific investigation skills, learning, for example, how to analyse, qualitatively and quantitatively, data related to a variety of physics concepts and principles. Students will also consider the impact of technological applications of physics on society and the environment.","Scientific Investigation, Data Analysis, Quantitative Reasoning, Problem Solving, Conceptual Understanding of Physics, Experimental Design, Critical Thinking, Technological Application Analysis, Data Interpretation, Research Methodology","Physics, Engineering Physics, Mechanical Engineering, Electrical Engineering, Aerospace Engineering, Materials Science, Applied Physics, Quantum Physics, Nuclear Engineering, Environmental Science, Computer Science, Technology Studies","Physicist, Aerospace Engineer, Electrical Engineer, Mechanical Engineer, Research Scientist, Environmental Consultant, Nuclear Technician, Data Analyst, Materials Scientist, Laboratory Technician, Technology Developer, Educator"
TDJ4M - Technological Design,"This course introduces students to the fundamentals of design advocacy and marketing, while building on their design skills and their knowledge of professional design practices. Students will apply a systematic design process to research, design, build, and assess solutions that meet specific human needs, using illustrations, presentation drawings, and other communication methods to present their designs. Students will enhance their problem-solving and communication skills, and will explore career opportunities and the postsecondary education and training requirements for them.","Design Thinking, Problem Solving, Communication, Presentation Design, Research Methodology, Creative Process, Technical Drawing, Marketing, Advocacy, Professional Practices, Solution Assessment","Industrial Design, Graphic Design, Product Design, Architecture, Marketing, Communication Design, Design Management, Visual Arts, Engineering Design, Interactive Media","Industrial Designer, Graphic Designer, Product Designer, Architect, Design Consultant, Marketing Specialist, Creative Director, Design Advocate, Brand Strategist, Presentation Specialist, User Experience Designer, Design Educator"
TEJ3M / TEJ4M - Computer Engineering Technology,"This course extends students understanding of computer systems and computer interfacing with external devices. Students will assemble computer systems by installing and configuring appropriate hardware and software, and will learn more about fundamental concepts of electronics, robotics, programming, and networks. Students will examine related environmental and societal issues, and will explore postsecondary pathways leading to careers in computer technology.","Computer Systems, Hardware Assembly, Software Installation, Electronics, Robotics, Programming, Network Configuration, Troubleshooting, Problem Solving, Environmental Awareness, Societal Issues in Technology, Technical Writing","Computer Science, Computer Engineering, Information Technology, Robotics, Electronics Engineering, Software Engineering, Network Administration, Systems Engineering, Cybersecurity, Artificial Intelligence, Mechatronics","Computer Technician, Network Administrator, Software Engineer, Systems Analyst, Robotics Engineer, IT Support Specialist, Electronics Technician, Hardware Engineer, Cybersecurity Analyst, Systems Integrator, Network Engineer, Robotics Technician"
TGJ4M - Communications Technology,"This course enables students to further develop media knowledge and skills while designing and producing projects in the areas of live, recorded, and graphic communications. Students may work in the areas of TV, video, and movie production; radio and audio production; print and graphic communications; photography; digital imaging; broadcast journalism; and interactive new media. Students will also expand their awareness of environmental and societal issues related to communications technology, and will investigate career opportunities and challenges in a rapidly changing technological environment.","Media Production, Live Communication, Recorded Communication, Graphic Design, TV Production, Video Production, Movie Production, Radio Production, Audio Production, Print Communications, Photography, Digital Imaging, Broadcast Journalism, Interactive Media, Communication Technology, Project Management, Environmental Awareness, Societal Issues in Technology, Career Development","Media Studies, Film Production, Television Production, Radio and Television Broadcasting, Graphic Design, Photography, Journalism, Interactive Media, Digital Arts, Communication Studies, New Media, Broadcast Journalism, Advertising, Public Relations","TV Producer, Video Producer, Radio Producer, Audio Engineer, Graphic Designer, Photographer, Digital Imaging Specialist, Broadcast Journalist, Film Director, Editor, Media Technician, Web Designer, Social Media Manager, Interactive Media Developer, Public Relations Specialist, Advertising Specialist"
THJ4M - Green Industries,"This course focuses on more complex concepts and skills related to the green industries. Students will focus on developing process skills, design and management techniques, and ways of enhancing environmental sustainability. They will also examine social and economic issues related to the green industries, learn about safe and healthy working practices, study industry standards and codes, and explore career opportunities. The knowledge and skills acquired in this course will prepare students for more specialized studies at the college and university level.","Environmental Sustainability, Process Skills, Design Techniques, Management Techniques, Safe Working Practices, Industry Standards and Codes, Green Industry Practices, Problem-Solving, Project Management, Research Skills, Health and Safety, Career Development","Environmental Science, Sustainability Studies, Green Technologies, Environmental Engineering, Renewable Energy, Environmental Management, Agricultural Science, Forestry, Ecology, Landscape Architecture, Urban Planning, Environmental Economics, Green Business","Environmental Consultant, Sustainability Manager, Green Technologies Specialist, Environmental Manager, Renewable Energy Technician, Agricultural Engineer, Landscape Designer, Urban Planner, Ecologist, Environmental Health and Safety Officer, Forestry Technician, Sustainability Consultant"
TPJ4M - Health Care,"This course focuses on the development of a range of skills needed to analyse and interpret clinical findings. Students will learn about accepted health care practices and demonstrate an understanding of basic procedures and the use of appropriate instruments and equipment. They will acquire an understanding of basic concepts related to the function of the human immune system and explore the relationship between pathology and disease prevention and treatment. Students will expand their awareness of workers health and safety issues, analyse environmental and societal issues related to health care, and further explore professional practice standards and postsecondary destinations in the field.","Clinical Analysis, Health Care Practices, Medical Procedures, Instrument Handling, Equipment Use, Immune System Function, Pathology and Disease Prevention, Treatment Techniques, Health and Safety Awareness, Professional Practice Standards, Research Skills, Problem-Solving, Critical Thinking, Environmental and Societal Awareness, Healthcare Communication","Health Sciences, Biomedical Sciences, Public Health, Immunology, Pathology, Medical Laboratory Science, Nursing, Medical Technology, Clinical Laboratory Sciences, Healthcare Administration, Environmental Health, Epidemiology, Global Health, Bioinformatics","Clinical Researcher, Medical Laboratory Technician, Immunologist, Pathologist, Health Educator, Healthcare Administrator, Medical Technologist, Nurse, Public Health Specialist, Disease Prevention Specialist, Clinical Analyst, Healthcare Consultant, Laboratory Supervisor, Environmental Health Officer, Epidemiologist"
TMJ4M - Manufacturing Engineering Technology,"This course enables students to further develop knowledge and skills related to design, process planning, control systems, project management, quality assurance, and business operations. Students will use a broad range of tools and equipment, enhance their skills in computer-aided design, and collaborate in managing a project. Students will critically analyse and solve complex problems involved in manufacturing products. Students will expand their awareness of environmental and societal issues and of career opportunities in the manufacturing industry.","Design, Process Planning, Control Systems, Project Management, Quality Assurance, Business Operations, Computer-Aided Design (CAD), Critical Analysis, Problem-Solving, Manufacturing Process, Equipment Handling, Collaboration, Environmental Awareness, Societal Impact, Manufacturing Techniques","Industrial Engineering, Manufacturing Engineering, Mechanical Engineering, Operations Management, Supply Chain Management, Product Design, Engineering Management, Business Administration, Sustainable Manufacturing, Design Engineering, Quality Control, Logistics and Transportation, Technology Management","Manufacturing Engineer, Industrial Engineer, Production Manager, Quality Assurance Specialist, Project Manager, CAD Specialist, Operations Manager, Supply Chain Analyst, Process Improvement Consultant, Design Engineer, Manufacturing Consultant, Product Development Manager, Business Operations Manager, Environmental Health and Safety Manager, Production Planner"
